path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,country,region,language./dump/2012\05\260-gendirektorrtrsandreyromanchenkooproblemahzamenitsifrovihtvstandartov.html.txt,,,,"Гендиректор РТРС Андрей Романченко о проблемах замены цифровых ТВ-стандартов",25.05.2012,публицистика,,,nashi_intervu,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/nashi_intervu/260-gendirektorrtrsandreyromanchenkooproblemahzamenitsifrovihtvstandartov.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2015\07\1663-SVYASHCHENNAYAZEMLYAIZGORODAGEROYAVOLGOGRADA.html.txt,,,,"СВЯЩЕННАЯ ЗЕМЛЯ ИЗ ГОРОДА-ГЕРОЯ ВОЛГОГРАДА",2.07.2015,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/gubernskie_vesti/1663-SVYASHCHENNAYAZEMLYAIZGORODAGEROYAVOLGOGRADA.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\06\1659-POCHTILIPAMYATGEROEV.html.txt,,,,"ПОЧТИЛИ ПАМЯТЬ ГЕРОЕВ",29.06.2015,публицистика,,,misc,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/raznoe/paamyat/1659-POCHTILIPAMYATGEROEV.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2012\12\442-ZAMNOGOLETNIYDOBROSOVESTNIYTRUD.html.txt,,,,"ЗА МНОГОЛЕТНИЙ ДОБРОСОВЕСТНЫЙ ТРУД",4.12.2012,публицистика,,,ludi,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/ludi/ludi_truda/442-ZAMNOGOLETNIYDOBROSOVESTNIYTRUD.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2015\02\1365-RYADIPARTIIRASTUT.html.txt,,,,"РЯДЫ ПАРТИИ РАСТУТ",2.02.2015,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/novosti_edinoy_rossii/1365-RYADIPARTIIRASTUT.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2013\09\767-PROGRAMMAREALNIHDEYSTVIYANEDEKLARATSIY.html.txt,,,,"ПРОГРАММА РЕАЛЬНЫХ ДЕЙСТВИЙ, А НЕ ДЕКЛАРАЦИЙ",10.09.2013,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/novosti_edinoy_rossii/767-PROGRAMMAREALNIHDEYSTVIYANEDEKLARATSIY.html,"Унечская газета",,2013,газета,Россия,ru
./dump/2015\03\1481-SPISOKUCHASTNIKOVUTVERZHDEN.html.txt,,,,"СПИСОК УЧАСТНИКОВ УТВЕРЖДЁН",30.03.2015,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/novosti_edinoy_rossii/1481-SPISOKUCHASTNIKOVUTVERZHDEN.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\11\1851-Bryanskieedinorossipodelyatsyaopitomprovedeniyapraymerizskollegami.html.txt,,,,"Брянские единороссы поделятся опытом проведения праймериз с коллегами",13.11.2015,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/novosti_edinoy_rossii/1851-Bryanskieedinorossipodelyatsyaopitomprovedeniyapraymerizskollegami.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2016\02\1989-vmoskveproshelperviyetapxvsezdapartiiedinayarossiya.html.txt,,,,"В МОСКВЕ ПРОШЁЛ ПЕРВЫЙ ЭТАП XV СЪЕЗДА ПАРТИИ «ЕДИНАЯ РОССИЯ»",11.02.2016,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/novosti_edinoy_rossii/1989-vmoskveproshelperviyetapxvsezdapartiiedinayarossiya.html,"Унечская газета",,2016,газета,Россия,ru
./dump/2015\12\1920-Perviyforumsekretareypervichnihotdeleniy.html.txt,,,,"Первый форум секретарей первичных отделений",24.12.2015,публицистика,,,vlast,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/vlast/novosti_edinoy_rossii/1920-Perviyforumsekretareypervichnihotdeleniy.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\03\1424-kubokpobedi2015.html.txt,,,,"«КУБОК ПОБЕДЫ—2015»",5.03.2015,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1424-kubokpobedi2015.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2014\04\1062-POBEDILLOKOMOTIV.html.txt,,,,"ПОБЕДИЛ «ЛОКОМОТИВ»",4.04.2014,публицистика,,,sport,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/sport/1062-POBEDILLOKOMOTIV.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2014\06\1116-TIVSERDTSEKAZHDOGOROSSIYA.html.txt,,,,"ТЫ В СЕРДЦЕ КАЖДОГО, РОССИЯ!",19.06.2014,публицистика,,,kultura,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/kultura/kulturnaya_zhizn/1116-TIVSERDTSEKAZHDOGOROSSIYA.html,"Унечская газета",,2014,газета,Россия,ru
